experiment_id,timestamp,experiment_type,n_msgs,classifier,f05,f1,precision,recall,std_f05,jaccard,n_common,n_only_pan,n_only_synth,common_features,top_n,total,predatory,normal
e4_jaccard_50msgs_20260621_202801,2026-06-21 20:28:01.492,jaccard,50,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
e4_jaccard_24msgs_20260621_202800,2026-06-21 20:28:00.483,jaccard,24,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
e4_jaccard_20msgs_20260621_202759,2026-06-21 20:27:59.880,jaccard,20,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
e4_jaccard_15msgs_20260621_202759,2026-06-21 20:27:59.407,jaccard,15,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
e4_jaccard_10msgs_20260621_202758,2026-06-21 20:27:58.984,jaccard,10,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
e4_jaccard_5msgs_20260621_202758,2026-06-21 20:27:58.721,jaccard,5,TF-IDF,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,20,20,[],20,8053,0,0
