experiment_id,timestamp,experiment_type,n_msgs,classifier,f05,f1,precision,recall,std_f05,ic_lower,ic_upper,total,predatory,normal
e3_loo_50msgs_20260621_202758,2026-06-21 20:27:58.517,loo,50,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
e3_loo_24msgs_20260621_202755,2026-06-21 20:27:55.461,loo,24,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
e3_loo_20msgs_20260621_202753,2026-06-21 20:27:53.199,loo,20,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
e3_loo_15msgs_20260621_202751,2026-06-21 20:27:51.209,loo,15,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
e3_loo_10msgs_20260621_202749,2026-06-21 20:27:49.385,loo,10,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
e3_loo_5msgs_20260621_202747,2026-06-21 20:27:47.746,loo,5,LinearSVC,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,41,21,20
