experiment_id,timestamp,experiment_type,n_msgs,classifier,f05,f1,precision,recall,std_f05,total,predatory,normal
e2_cross_domain_50msgs_20260621_202746,2026-06-21 20:27:46.360,cross_domain,50,LinearSVC,0.0000,0.0000,0.0000,0.0000,0.0000,8053,874,7179
e2_cross_domain_24msgs_20260621_202745,2026-06-21 20:27:45.241,cross_domain,24,LinearSVC,0.3448,0.1739,1.0000,0.0952,0.0000,8053,874,7179
e2_cross_domain_20msgs_20260621_202744,2026-06-21 20:27:44.424,cross_domain,20,LinearSVC,0.3448,0.1739,1.0000,0.0952,0.0000,8053,874,7179
e2_cross_domain_15msgs_20260621_202743,2026-06-21 20:27:43.863,cross_domain,15,LinearSVC,0.4545,0.2500,1.0000,0.1429,0.0000,8053,874,7179
e2_cross_domain_10msgs_20260621_202743,2026-06-21 20:27:43.105,cross_domain,10,LinearSVC,0.2000,0.0909,1.0000,0.0476,0.0000,8053,874,7179
e2_cross_domain_5msgs_20260621_202742,2026-06-21 20:27:42.844,cross_domain,5,LinearSVC,0.2000,0.0909,1.0000,0.0476,0.0000,8053,874,7179
